vendor,api_slug,class,reason,removed,readd_condition,evidence_source
clearbit.com,main,dead-product,Logo API self-announced discontinuation 2025-12-01; logo.clearbit.com unresolvable,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",bar-b-pilot-0.5
shrtlnk.dev,shrtlnk,dead-product,https://shrtlnk.dev/developer returns 404; domain repurposed to unrelated gambling site,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-14
apixu.com,main,dead-product,apixu.com 301-redirects to weatherstack.com; APIXU product retired/merged,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-02
basesnap.com,main,dead-product,"Domain parked/for-sale on GoDaddy; API host has no valid TLS cert, product dead",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-02
nutribot.com,nutribot-api,dead-product,domain redirects to domains.collinlove.com parking; SwaggerHub spec 404; nutribot.com redirects to domain reseller (domains.collinlove.com); referenced SwaggerHub ALTCONNECT/Nutrib,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-10
nutribot.io,main,dead-product,GoDaddy coming-soon placeholder; SwaggerHub spec 404; nutribot.io serves a GoDaddy 'Proximo lanzamiento' placeholder with no product; SwaggerHub spec 404 gone; dead,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-10
skool.com,main,dead-product,developers.skool.com NXDOMAIN and api.skoolapi.com parked/for-sale; no public API,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-14
uebermaps.com,uebermaps,dead-product,uebermaps.com/api/v2/apidocs and swagger.json return an HTML page titled service shutdown by 31th july 2023. Only a stale APIs.guru swagger 2.0 mirror remains.,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-16
userfront.com,main,dead-product,"api.userfront.com is NXDOMAIN, docs 404, company pivoted to AI product MultiModel (multimodel.com); original auth API discontinued",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-16
volusion.com,main,dead-product,api.volusion.com is NXDOMAIN and developer docs (helpcenter.volusion.com/developers) return 404; public developer API discontinued though ecommerce site is live,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-16
wikipathways.org,main,dead-product,"webservice.wikipathways.org now returns GitHub Pages 404 for swagger endpoint and all API paths, REST webservice decommissioned",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-16
accurai.com,main,dead-product,accurai.com serves a GoDaddy parking lander (LANDER_SYSTEM=PW) and api.accurai.com does not resolve in DNS,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-01
airgift.io,main,dead-product,airgift.io now serves a GoDaddy Website-Builder coming-soon placeholder (Proximo lanzamiento copyright 2025); docs.airgi,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-01
andromeda-intelligence.com,main,dead-product,server.andromeda-intelligence.com resolves to NXDOMAIN (DNS-dead); the live Wix marketing site makes no mention of Cynth,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-01
softbankrobotics.com,softbankrobotics,dead-product,developer portal redirects to maxtronics.com; company rebranded (Aldebaran then Maxtronics); no SoftBank API docs remain,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-14
rapidapi.com,ecowetter,dead-product,api.ecowetter.de and ecowetter.de fail DNS resolution; origin corrently.io/attachments/4 returns HTTP 500,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-12
